,times,brier_scores,models
0,0,0.002348153,CoxPH (IBS: 0.1657)
1,1,0.004995637,CoxPH (IBS: 0.1657)
2,2,0.009867554,CoxPH (IBS: 0.1657)
3,3,0.017471059,CoxPH (IBS: 0.1657)
4,4,0.02789428,CoxPH (IBS: 0.1657)
5,5,0.034442237,CoxPH (IBS: 0.1657)
6,6,0.04343845,CoxPH (IBS: 0.1657)
7,7,0.04716902,CoxPH (IBS: 0.1657)
8,8,0.060593834,CoxPH (IBS: 0.1657)
9,9,0.06347505,CoxPH (IBS: 0.1657)
10,10,0.068722564,CoxPH (IBS: 0.1657)
11,11,0.074804327,CoxPH (IBS: 0.1657)
12,12,0.082557913,CoxPH (IBS: 0.1657)
13,13,0.084224622,CoxPH (IBS: 0.1657)
14,14,0.088265328,CoxPH (IBS: 0.1657)
15,15,0.094411679,CoxPH (IBS: 0.1657)
16,16,0.094235427,CoxPH (IBS: 0.1657)
17,17,0.095382173,CoxPH (IBS: 0.1657)
18,18,0.103003171,CoxPH (IBS: 0.1657)
19,19,0.106651252,CoxPH (IBS: 0.1657)
20,20,0.110082302,CoxPH (IBS: 0.1657)
21,21,0.118005394,CoxPH (IBS: 0.1657)
22,22,0.123848361,CoxPH (IBS: 0.1657)
23,23,0.126267532,CoxPH (IBS: 0.1657)
24,24,0.127333948,CoxPH (IBS: 0.1657)
25,25,0.129047395,CoxPH (IBS: 0.1657)
26,26,0.132995614,CoxPH (IBS: 0.1657)
27,27,0.138120573,CoxPH (IBS: 0.1657)
28,28,0.141492929,CoxPH (IBS: 0.1657)
29,29,0.144772724,CoxPH (IBS: 0.1657)
30,30,0.14782584,CoxPH (IBS: 0.1657)
31,31,0.159275427,CoxPH (IBS: 0.1657)
32,32,0.160392278,CoxPH (IBS: 0.1657)
33,33,0.163675802,CoxPH (IBS: 0.1657)
34,34,0.163398694,CoxPH (IBS: 0.1657)
35,35,0.163902155,CoxPH (IBS: 0.1657)
36,36,0.163805031,CoxPH (IBS: 0.1657)
37,37,0.166158008,CoxPH (IBS: 0.1657)
38,38,0.166462452,CoxPH (IBS: 0.1657)
39,39,0.16664907,CoxPH (IBS: 0.1657)
40,40,0.169086964,CoxPH (IBS: 0.1657)
41,41,0.170587787,CoxPH (IBS: 0.1657)
42,42,0.171844687,CoxPH (IBS: 0.1657)
43,43,0.175256791,CoxPH (IBS: 0.1657)
44,44,0.176438927,CoxPH (IBS: 0.1657)
45,45,0.178486743,CoxPH (IBS: 0.1657)
46,46,0.180805529,CoxPH (IBS: 0.1657)
47,47,0.181363179,CoxPH (IBS: 0.1657)
48,48,0.183920122,CoxPH (IBS: 0.1657)
49,49,0.183816822,CoxPH (IBS: 0.1657)
50,50,0.184391884,CoxPH (IBS: 0.1657)
51,51,0.186747723,CoxPH (IBS: 0.1657)
52,52,0.188188397,CoxPH (IBS: 0.1657)
53,53,0.189245877,CoxPH (IBS: 0.1657)
54,54,0.189979492,CoxPH (IBS: 0.1657)
55,55,0.190980359,CoxPH (IBS: 0.1657)
56,56,0.191357979,CoxPH (IBS: 0.1657)
57,57,0.190776196,CoxPH (IBS: 0.1657)
58,58,0.189812132,CoxPH (IBS: 0.1657)
59,59,0.189948417,CoxPH (IBS: 0.1657)
60,60,0.189784636,CoxPH (IBS: 0.1657)
61,61,0.190439765,CoxPH (IBS: 0.1657)
62,62,0.190919551,CoxPH (IBS: 0.1657)
63,64,0.191879794,CoxPH (IBS: 0.1657)
64,65,0.193761513,CoxPH (IBS: 0.1657)
65,66,0.194141132,CoxPH (IBS: 0.1657)
66,67,0.197363005,CoxPH (IBS: 0.1657)
67,69,0.2004742,CoxPH (IBS: 0.1657)
68,71,0.201036079,CoxPH (IBS: 0.1657)
69,72,0.199374263,CoxPH (IBS: 0.1657)
70,74,0.199058762,CoxPH (IBS: 0.1657)
71,75,0.199491604,CoxPH (IBS: 0.1657)
72,76,0.199725864,CoxPH (IBS: 0.1657)
73,78,0.201766235,CoxPH (IBS: 0.1657)
74,80,0.203719975,CoxPH (IBS: 0.1657)
75,81,0.203652198,CoxPH (IBS: 0.1657)
76,82,0.204233803,CoxPH (IBS: 0.1657)
77,83,0.203637017,CoxPH (IBS: 0.1657)
78,84,0.203835751,CoxPH (IBS: 0.1657)
79,85,0.203008113,CoxPH (IBS: 0.1657)
80,89,0.197969383,CoxPH (IBS: 0.1657)
81,91,0.200044165,CoxPH (IBS: 0.1657)
82,92,0.201993327,CoxPH (IBS: 0.1657)
83,96,0.2027555,CoxPH (IBS: 0.1657)
84,98,0.206048065,CoxPH (IBS: 0.1657)
85,101,0.206263636,CoxPH (IBS: 0.1657)
86,105,0.205712737,CoxPH (IBS: 0.1657)
87,115,0.200042764,CoxPH (IBS: 0.1657)
88,125,0.198417742,CoxPH (IBS: 0.1657)
89,128,0.199320883,CoxPH (IBS: 0.1657)
90,129,0.199851698,CoxPH (IBS: 0.1657)
91,134,0.203709586,CoxPH (IBS: 0.1657)
92,140,0.210874954,CoxPH (IBS: 0.1657)
93,153,0.208876653,CoxPH (IBS: 0.1657)
94,166,0.220669157,CoxPH (IBS: 0.1657)
95,0,0.002228916,TNM (IBS: 0.1695)
96,1,0.004653304,TNM (IBS: 0.1695)
97,2,0.009340425,TNM (IBS: 0.1695)
98,3,0.017774313,TNM (IBS: 0.1695)
99,4,0.029094658,TNM (IBS: 0.1695)
100,5,0.03540534,TNM (IBS: 0.1695)
101,6,0.043765656,TNM (IBS: 0.1695)
102,7,0.047362402,TNM (IBS: 0.1695)
103,8,0.061107841,TNM (IBS: 0.1695)
104,9,0.064351805,TNM (IBS: 0.1695)
105,10,0.070769513,TNM (IBS: 0.1695)
106,11,0.078313812,TNM (IBS: 0.1695)
107,12,0.087491286,TNM (IBS: 0.1695)
108,13,0.088649941,TNM (IBS: 0.1695)
109,14,0.092685043,TNM (IBS: 0.1695)
110,15,0.098523926,TNM (IBS: 0.1695)
111,16,0.099466818,TNM (IBS: 0.1695)
112,17,0.102929709,TNM (IBS: 0.1695)
113,18,0.111998846,TNM (IBS: 0.1695)
114,19,0.115587273,TNM (IBS: 0.1695)
115,20,0.120913135,TNM (IBS: 0.1695)
116,21,0.128375346,TNM (IBS: 0.1695)
117,22,0.133711657,TNM (IBS: 0.1695)
118,23,0.137970442,TNM (IBS: 0.1695)
119,24,0.138647346,TNM (IBS: 0.1695)
120,25,0.140482535,TNM (IBS: 0.1695)
121,26,0.143708992,TNM (IBS: 0.1695)
122,27,0.149381052,TNM (IBS: 0.1695)
123,28,0.152509099,TNM (IBS: 0.1695)
124,29,0.153891937,TNM (IBS: 0.1695)
125,30,0.157252837,TNM (IBS: 0.1695)
126,31,0.166359297,TNM (IBS: 0.1695)
127,32,0.167634112,TNM (IBS: 0.1695)
128,33,0.171245969,TNM (IBS: 0.1695)
129,34,0.17128049,TNM (IBS: 0.1695)
130,35,0.171131943,TNM (IBS: 0.1695)
131,36,0.17228484,TNM (IBS: 0.1695)
132,37,0.173648468,TNM (IBS: 0.1695)
133,38,0.174080406,TNM (IBS: 0.1695)
134,39,0.174328187,TNM (IBS: 0.1695)
135,40,0.17563705,TNM (IBS: 0.1695)
136,41,0.177417286,TNM (IBS: 0.1695)
137,42,0.178808043,TNM (IBS: 0.1695)
138,43,0.179335103,TNM (IBS: 0.1695)
139,44,0.17989333,TNM (IBS: 0.1695)
140,45,0.182268016,TNM (IBS: 0.1695)
141,46,0.183429693,TNM (IBS: 0.1695)
142,47,0.183906891,TNM (IBS: 0.1695)
143,48,0.186165456,TNM (IBS: 0.1695)
144,49,0.18632766,TNM (IBS: 0.1695)
145,50,0.186570007,TNM (IBS: 0.1695)
146,51,0.188858945,TNM (IBS: 0.1695)
147,52,0.190102806,TNM (IBS: 0.1695)
148,53,0.193316543,TNM (IBS: 0.1695)
149,54,0.19396027,TNM (IBS: 0.1695)
150,55,0.194071802,TNM (IBS: 0.1695)
151,56,0.194900525,TNM (IBS: 0.1695)
