,loss_values
0,3173.2119140625
1,3164.745849609375
2,3184.0322265625
3,3163.13232421875
4,3167.893798828125
5,3156.04248046875
6,3163.7626953125
7,3157.013671875
8,3144.4990234375
9,3141.205322265625
10,3144.382568359375
11,3143.91162109375
12,3154.46337890625
13,3140.508056640625
14,3145.22607421875
15,3131.004150390625
16,3129.550048828125
17,3128.684326171875
18,3127.1416015625
19,3119.213623046875
20,3129.978271484375
21,3132.960205078125
22,3122.077880859375
23,3117.575439453125
24,3110.666259765625
25,3139.221923828125
26,3108.760498046875
27,3103.14794921875
28,3107.680419921875
29,3108.458984375
30,3115.697509765625
31,3103.18798828125
32,3081.265625
33,3099.297607421875
34,3093.918212890625
35,3103.588134765625
36,3099.691162109375
37,3099.070068359375
38,3084.53515625
39,3090.8466796875
40,3106.535400390625
41,3082.8779296875
42,3084.155517578125
43,3089.486083984375
44,3074.987548828125
45,3088.029052734375
46,3081.763916015625
47,3084.06396484375
48,3072.1787109375
49,3081.466064453125
50,3073.7548828125
51,3077.616943359375
52,3071.437744140625
53,3075.66943359375
54,3062.385498046875
55,3066.06689453125
56,3061.036376953125
57,3078.61474609375
58,3063.382568359375
59,3069.8916015625
60,3053.177734375
61,3055.3203125
62,3059.1396484375
63,3061.76513671875
64,3052.031005859375
65,3046.909912109375
66,3059.0986328125
67,3042.4599609375
68,3059.56689453125
69,3053.096923828125
70,3029.811767578125
71,3050.13525390625
72,3034.6318359375
73,3044.31201171875
74,3045.99658203125
75,3047.105224609375
76,3044.33349609375
77,3032.488037109375
78,3032.935302734375
79,3039.70556640625
80,3044.448974609375
81,3039.438232421875
82,3043.91650390625
83,3032.6845703125
84,3032.32666015625
85,3031.3603515625
86,3021.284423828125
87,3031.069580078125
88,3026.855712890625
89,3022.90771484375
90,3020.60693359375
91,3032.2734375
92,3032.61376953125
93,3027.415283203125
94,3022.904296875
95,3032.177734375
96,3026.610107421875
97,3033.581298828125
98,3017.48486328125
99,3030.658935546875
100,3024.11376953125
101,3037.139892578125
102,3020.130126953125
103,3028.486328125
104,3024.50927734375
105,3030.533203125
106,3011.40478515625
107,3019.301025390625
108,3026.828369140625
109,3006.44287109375
110,3028.281982421875
111,3012.489990234375
112,3013.6142578125
113,3025.906005859375
114,3004.783447265625
115,3015.54931640625
116,3015.3251953125
117,3006.408935546875
118,3019.202880859375
119,3010.979736328125
120,3021.13134765625
121,3005.06005859375
122,2998.49169921875
123,3017.698974609375
124,3002.12646484375
125,3002.813232421875
126,3004.537353515625
127,3000.04150390625
128,3012.7021484375
129,3003.58837890625
130,3005.114501953125
131,3006.926513671875
132,3007.0126953125
133,3003.65771484375
134,3005.107177734375
135,3019.727783203125
136,3002.95947265625
137,2997.4462890625
138,3014.012451171875
139,3004.399169921875
140,3001.701904296875
141,2993.517333984375
142,2990.4765625
143,2995.291015625
144,3004.548583984375
145,2996.3388671875
146,3020.001708984375
147,2984.34228515625
148,2992.280517578125
149,2999.276611328125
150,2998.489013671875
151,3005.406494140625
152,3002.806640625
153,2993.35302734375
154,2999.2138671875
155,2996.8857421875
156,2996.42822265625
157,3003.252197265625
158,2997.040283203125
159,2992.264892578125
160,2977.04443359375
161,2990.339111328125
162,3008.283203125
163,2989.1015625
164,2989.4951171875
165,3006.29541015625
166,2992.296875
167,2997.2080078125
168,2980.409912109375
169,3002.834716796875
170,2982.8564453125
171,2995.43017578125
172,2997.01953125
173,2983.583251953125
174,2993.224853515625
175,2990.499267578125
176,2994.18408203125
177,2990.355224609375
178,2996.42333984375
179,2988.27197265625
180,3003.359619140625
181,2979.68701171875
182,2979.74560546875
183,2980.2119140625
184,2995.214111328125
185,2986.587890625
186,2977.1416015625
187,2987.60498046875
188,2983.084716796875
189,2993.552978515625
190,2986.0009765625
191,2980.628662109375
192,2969.511474609375
193,2992.019287109375
194,2971.27197265625
195,2981.715087890625
196,2989.1103515625
197,2971.965087890625
198,2979.8291015625
199,2996.72705078125
200,2981.765380859375
201,2987.035400390625
202,2981.376708984375
203,2980.78515625
204,2989.95458984375
205,2986.966552734375
206,2972.630615234375
207,2986.557861328125
208,2983.732177734375
209,2984.833740234375
210,2989.14111328125
211,2987.404296875
212,2985.909912109375
213,2985.104736328125
214,2990.843994140625
215,2983.65869140625
216,2980.79150390625
217,2984.66552734375
218,2983.943359375
219,2982.449951171875
220,2973.964599609375
221,2993.34521484375
222,2975.194580078125
223,2989.941650390625
224,2990.545166015625
225,2982.9833984375
226,2965.688232421875
227,2973.62890625
228,2979.950927734375
229,2962.912841796875
230,2978.678955078125
231,2976.114990234375
232,2970.921142578125
233,2976.89111328125
234,2965.38671875
235,2976.532958984375
236,2986.65478515625
237,2968.122802734375
238,2972.87451171875
239,2980.470947265625
240,2986.12109375
241,2975.564453125
242,2974.39697265625
243,2964.640625
244,2976.241943359375
245,2971.657470703125
246,2952.471923828125
247,2969.9375
248,2973.223388671875
249,2956.9306640625
250,2962.23779296875
251,2976.40283203125
252,2976.99169921875
253,2977.743408203125
254,2972.025146484375
255,2975.193115234375
256,2973.600341796875
257,2975.3994140625
258,2972.783935546875
259,2974.298828125
260,2972.022216796875
261,2973.058349609375
262,2956.31298828125
263,2972.609130859375
264,2974.14501953125
265,2974.093505859375
266,2972.51416015625
267,2959.461669921875
268,2968.111328125
269,2966.558349609375
270,2968.62841796875
271,2962.9541015625
272,2955.876953125
273,2965.39599609375
274,2968.77734375
275,2975.320068359375
276,2966.28759765625
277,2975.80078125
278,2964.59326171875
279,2967.260986328125
280,2965.77490234375
281,2965.52880859375
282,2965.10986328125
283,2974.1826171875
284,2979.959228515625
285,2975.45556640625
286,2962.694091796875
287,2969.243896484375
288,2953.429931640625
289,2959.943603515625
290,2965.8740234375
291,2962.28857421875
292,2969.431640625
293,2961.66650390625
294,2963.765380859375
295,2972.124267578125
296,2969.60107421875
297,2949.901123046875
298,2969.55078125
299,2955.23828125
300,2954.34716796875
301,2969.909912109375
302,2964.718994140625
303,2973.665771484375
304,2974.257568359375
305,2969.120849609375
306,2967.771484375
307,2965.0693359375
308,2964.176025390625
309,2968.973876953125
310,2956.52099609375
311,2960.96728515625
312,2961.8388671875
313,2959.934326171875
314,2961.741455078125
315,2956.85498046875
316,2961.803466796875
317,2945.16015625
318,2972.858154296875
319,2961.294921875
320,2953.622314453125
321,2946.13134765625
322,2960.281494140625
323,2963.71728515625
324,2959.48046875
325,2951.740966796875
326,2960.68115234375
327,2969.205810546875
328,2962.694580078125
329,2957.129638671875
330,2968.73291015625
331,2968.448974609375
332,2956.47314453125
333,2962.4248046875
334,2955.515869140625
335,2957.001220703125
336,2963.48193359375
337,2961.007568359375
338,2946.56396484375
339,2969.3798828125
340,2956.78564453125
341,2942.103271484375
342,2956.8515625
343,2946.233642578125
344,2958.906982421875
345,2953.390380859375
346,2963.925537109375
347,2954.290283203125
348,2952.05712890625
349,2962.836181640625
350,2957.110107421875
351,2946.8681640625
352,2950.036865234375
353,2952.237548828125
354,2961.8623046875
355,2961.5634765625
356,2945.5732421875
357,2954.87646484375
358,2964.056640625
359,2949.488037109375
360,2976.4931640625
361,2945.51123046875
362,2952.21044921875
363,2947.382568359375
364,2950.73486328125
365,2950.982421875
366,2960.037109375
367,2950.24365234375
368,2965.806884765625
369,2945.422607421875
370,2944.524658203125
371,2950.738525390625
372,2957.283203125
373,2954.764404296875
374,2963.124755859375
375,2956.001220703125
376,2951.770263671875
377,2962.00341796875
378,2948.145751953125
379,2958.194580078125
380,2952.893798828125
381,2951.174560546875
382,2946.64306640625
383,2946.37353515625
384,2948.641845703125
385,2954.180419921875
386,2960.613037109375
387,2943.031005859375
388,2960.642822265625
389,2950.528564453125
390,2958.333984375
391,2964.033935546875
392,2955.739990234375
393,2955.349609375
394,2932.650634765625
395,2956.7958984375
396,2954.28662109375
397,2950.626220703125
398,2947.929931640625
399,2949.709228515625
400,2950.697998046875
401,2954.494140625
402,2942.21875
403,2952.5126953125
404,2942.75634765625
405,2956.20458984375
406,2953.34130859375
407,2952.705810546875
408,2943.845458984375
409,2957.776123046875
410,2940.55126953125
411,2960.943359375
412,2940.703857421875
413,2949.45361328125
414,2962.655029296875
415,2945.5087890625
416,2940.911865234375
417,2956.739013671875
418,2934.55322265625
419,2948.908935546875
420,2948.962890625
421,2941.696533203125
422,2944.32568359375
423,2934.073974609375
424,2942.926513671875
425,2942.7177734375
426,2940.402099609375
427,2956.630126953125
428,2951.088134765625
429,2946.781982421875
430,2951.252685546875
431,2935.82666015625
432,2946.62109375
433,2947.291748046875
434,2943.568603515625
435,2952.339111328125
436,2936.575927734375
437,2947.534423828125
438,2948.950439453125
439,2942.6533203125
440,2952.4384765625
441,2943.251220703125
442,2951.916015625
443,2941.645263671875
444,2934.4111328125
445,2943.890380859375
446,2941.564697265625
447,2956.958251953125
448,2948.096435546875
449,2940.200927734375
450,2946.383544921875
451,2951.697509765625
452,2938.5908203125
453,2950.370849609375
454,2953.3525390625
455,2938.453125
456,2950.430419921875
457,2948.6376953125
458,2937.027099609375
459,2948.430908203125
460,2948.284912109375
461,2948.40087890625
462,2937.84912109375
463,2944.603515625
