,loss_values
0,3410.58837890625
1,3123.483642578125
2,2750.531982421875
3,2475.9423828125
4,2383.11474609375
5,2372.424560546875
6,2397.493408203125
7,2451.949951171875
8,2450.79638671875
9,2431.3369140625
10,2476.021484375
11,2392.162109375
12,2302.8955078125
13,2191.072265625
14,2204.74560546875
15,2148.546875
16,2187.09765625
17,2144.408447265625
18,2178.11376953125
19,2128.793212890625
20,2152.151123046875
21,2140.0908203125
22,2140.275146484375
23,2123.99853515625
24,2059.218017578125
25,2065.49267578125
26,2032.396728515625
27,2043.824462890625
28,2022.7940673828125
29,2036.4935302734375
30,2047.54443359375
31,1977.204833984375
32,2028.3214111328125
33,1990.9259033203125
34,1991.6048583984375
35,1943.7830810546875
36,1976.0579833984375
37,1948.0001220703125
38,1957.7664794921875
39,1972.2569580078125
40,1951.3616943359375
41,1953.98583984375
42,1953.830078125
43,1947.06396484375
44,1920.93896484375
45,1945.01416015625
46,1936.328125
47,1926.6011962890625
48,1923.62548828125
49,1914.679931640625
50,1913.93359375
51,1903.3175048828125
52,1877.6065673828125
53,1916.5052490234375
54,1897.0787353515625
55,1912.5325927734375
56,1885.3741455078125
57,1902.5626220703125
58,1898.673095703125
59,1899.791259765625
60,1882.584716796875
61,1866.6171875
62,1865.0821533203125
63,1874.1756591796875
64,1861.653564453125
65,1845.2056884765625
66,1859.352783203125
67,1847.24267578125
68,1876.16162109375
69,1860.075439453125
70,1878.2554931640625
71,1869.685302734375
72,1875.6876220703125
73,1836.400634765625
74,1863.5687255859375
75,1845.1314697265625
76,1835.077392578125
77,1835.3111572265625
78,1842.89306640625
79,1862.802001953125
80,1823.3988037109375
81,1840.4556884765625
82,1845.5919189453125
83,1838.828369140625
84,1842.7523193359375
85,1850.8533935546875
86,1845.4036865234375
87,1826.260498046875
88,1847.22412109375
89,1828.9947509765625
90,1825.1744384765625
91,1842.046630859375
92,1847.671875
93,1811.322265625
94,1815.570556640625
95,1830.353271484375
96,1833.3597412109375
97,1817.15478515625
98,1841.181396484375
99,1822.165771484375
100,1803.667236328125
101,1835.81640625
102,1839.69482421875
103,1809.1297607421875
104,1810.1318359375
105,1809.4271240234375
106,1820.8746337890625
107,1799.3956298828125
108,1813.72265625
109,1803.2867431640625
110,1816.9794921875
111,1800.9722900390625
112,1785.2010498046875
113,1813.87353515625
114,1814.043701171875
115,1798.104736328125
116,1812.0146484375
117,1798.5076904296875
118,1806.0704345703125
119,1809.7017822265625
120,1790.7398681640625
121,1786.8270263671875
122,1793.7918701171875
123,1807.4945068359375
124,1789.1053466796875
125,1808.7705078125
126,1783.8951416015625
127,1793.9739990234375
128,1780.020263671875
129,1798.2275390625
130,1794.290283203125
131,1787.903076171875
132,1798.6331787109375
133,1804.294677734375
134,1787.2230224609375
135,1785.3800048828125
136,1800.256103515625
137,1798.541259765625
138,1790.5645751953125
139,1792.530517578125
140,1800.4071044921875
141,1770.8001708984375
142,1763.540283203125
143,1781.0509033203125
144,1783.4857177734375
145,1787.64208984375
146,1776.2193603515625
147,1799.15185546875
148,1772.4110107421875
149,1769.1365966796875
150,1780.163818359375
151,1788.828369140625
152,1787.796875
153,1799.432861328125
154,1777.889404296875
155,1774.000732421875
156,1763.2325439453125
157,1759.3468017578125
158,1762.1275634765625
159,1777.0211181640625
160,1769.569091796875
161,1772.3096923828125
162,1768.7696533203125
163,1753.2940673828125
164,1766.2274169921875
165,1790.0814208984375
166,1752.99658203125
167,1762.9127197265625
168,1780.31494140625
169,1770.85498046875
170,1772.614013671875
171,1780.472412109375
172,1754.4622802734375
173,1769.7294921875
174,1749.9278564453125
175,1770.1085205078125
176,1766.3114013671875
177,1767.085205078125
178,1756.4266357421875
179,1771.264404296875
180,1753.947509765625
181,1765.9730224609375
182,1772.7232666015625
183,1755.2122802734375
184,1750.5902099609375
185,1748.6307373046875
186,1751.527587890625
187,1741.3795166015625
188,1785.7225341796875
189,1767.988037109375
190,1754.3875732421875
191,1750.2410888671875
192,1748.203369140625
193,1735.2242431640625
194,1736.7861328125
195,1753.0684814453125
196,1752.8448486328125
197,1747.664306640625
198,1737.682373046875
199,1745.019775390625
200,1742.7691650390625
201,1735.51416015625
202,1737.573974609375
203,1752.6492919921875
204,1752.8563232421875
205,1742.54736328125
206,1768.29638671875
207,1745.2911376953125
208,1754.7349853515625
209,1736.5635986328125
210,1757.7122802734375
211,1755.8211669921875
212,1757.002197265625
213,1732.14453125
214,1723.3603515625
215,1747.5909423828125
216,1745.580810546875
217,1744.23681640625
218,1748.9080810546875
219,1763.3037109375
220,1735.5545654296875
221,1753.4932861328125
222,1730.5947265625
223,1764.3232421875
224,1734.32861328125
225,1753.035400390625
226,1754.9024658203125
227,1737.68359375
228,1744.4342041015625
229,1732.411865234375
230,1729.8262939453125
231,1752.3983154296875
232,1736.2435302734375
233,1757.7227783203125
234,1727.3863525390625
235,1732.3897705078125
